Mentor ID,Years of Experience,Past Success Rate,Rating,Availability,Number of Aspirants helped,Spec_General Knowledge,Spec_English Comprehension,Spec_Quantitative Techniques,Spec_Legal Reasoning,Spec_Logical Reasoning,College_GNLU Gandhinagar,College_NALSAR Hyderabad,College_NLIU Bhopal,College_NLSIU Bangalore,College_NUJS Kolkata,Teaching_Interactive,Teaching_Lecture-based,Teaching_Problem-solving,Style_Personalized Guidance,Style_Concept Clarity,Style_Motivation,Style_Test Strategy
115,1.4688520192230834,0.5215655020130405,-0.3494816226644155,Anytime,0.4917995620257376,0,0,0,0,1,False,False,True,False,False,True,False,False,0,0,0,1
116,0.1024780478527732,1.1051398092721263,-1.0047596651601935,Anytime,1.0989595151439322,0,0,0,1,0,False,False,True,False,False,False,False,True,0,0,0,1
117,-0.9223024306749594,-1.3929581277714305,0.3057964198313645,Anytime,-0.11536039109245694,0,1,1,0,0,True,False,False,False,False,False,True,False,0,1,1,0
118,0.7856650335379284,0.38969689265788066,-0.3494816226644155,Weekends,0.34000957374618895,0,0,0,0,1,False,False,False,False,True,True,False,False,0,0,0,1
119,-1.263895923517537,-1.57228400212277,0.742648448161882,Weekdays,-1.557365279748169,0,0,0,1,0,False,False,True,False,False,False,False,True,1,1,0,0
120,1.4688520192230834,-1.5175011998941978,-0.5679076368296743,Weekends,1.6302244741223524,0,0,0,0,1,False,False,False,True,False,False,False,True,1,0,0,1
121,-0.9223024306749594,0.9931438227280089,0.9610744623271427,Weekdays,-1.785050262167492,0,0,0,1,0,False,True,False,False,False,True,False,False,0,0,1,0
122,-1.6054894163601146,0.905771585533529,0.742648448161882,Anytime,-1.4055752914686204,0,1,0,1,0,True,False,False,False,False,False,True,False,1,0,1,0
123,-1.263895923517537,-0.9707220434062673,-1.0047596651601935,Weekends,-0.2671503793720056,1,0,0,0,0,False,False,True,False,False,False,True,False,1,0,0,0
124,1.127258526380506,0.3085541770432926,-0.3494816226644155,Weekdays,-0.11536039109245694,0,0,0,1,0,False,False,False,False,True,False,False,True,1,1,0,0
125,-0.5807089378323819,-0.6197961852438406,-0.13105560849915485,Weekends,-0.8743103324902001,1,0,0,0,0,False,True,False,False,False,True,False,False,0,1,0,1
126,0.1024780478527732,-1.2224591932430562,-1.441611693490712,Weekdays,0.34000957374618895,0,0,0,1,0,False,False,False,False,True,False,False,True,0,0,1,0
127,0.1024780478527732,0.1483088523552317,0.742648448161882,Weekdays,0.8712745327246092,0,1,0,0,0,False,False,True,False,False,True,False,False,0,0,1,0
128,-0.23911544498980436,-1.568664349157392,-0.13105560849915485,Anytime,-0.41894036765155424,0,0,1,0,0,False,False,False,False,True,True,False,False,1,0,0,1
129,-0.23911544498980436,0.47196153006281877,-1.2231856793254523,Anytime,1.0230645210041578,0,1,0,0,0,False,True,False,False,False,True,False,False,1,1,0,0
130,-1.263895923517537,-1.3317665531517093,0.9610744623271427,Weekends,1.2507495034234808,0,1,0,0,0,True,False,False,False,False,False,True,False,0,1,0,0
131,0.7856650335379284,1.9323459042613378,-1.441611693490712,Weekdays,0.7953795385848349,1,0,0,1,0,False,False,True,False,False,False,False,True,0,0,0,1
132,-1.6054894163601146,1.1934712200136344,0.08737040566610388,Anytime,-0.11536039109245694,0,1,0,0,0,False,False,False,False,True,True,False,False,1,0,0,1
133,0.7856650335379284,0.05054505311934065,-1.0047596651601935,Anytime,1.4025394917030294,0,0,0,1,0,False,False,False,True,False,True,False,False,0,0,1,0
134,0.1024780478527732,-1.202958328587596,-1.6600377076559718,Weekends,0.036429597187091704,0,1,0,1,0,False,False,False,False,True,False,True,False,0,0,0,1
135,0.7856650335379284,0.6788675831435654,0.9610744623271427,Anytime,0.5676945561655119,1,0,0,0,1,False,True,False,False,False,False,True,False,0,1,0,1
136,1.4688520192230834,1.0522777053959336,0.3057964198313645,Anytime,-1.329680297328846,0,0,1,0,0,False,False,False,False,True,False,False,True,1,0,1,0
137,-0.9223024306749594,1.0966263941317291,1.1795004764924013,Weekdays,1.0230645210041578,0,1,0,0,0,True,False,False,False,False,True,False,False,0,1,1,0
138,-1.263895923517537,-0.33436980077896444,0.9610744623271427,Weekdays,-0.7225203442106515,0,0,0,0,1,False,False,False,False,True,False,False,True,0,1,1,0
139,1.127258526380506,0.818800325892667,1.6163525048229208,Anytime,-1.4814702856083948,0,0,1,0,0,True,False,False,False,False,True,False,False,1,1,0,0
140,0.44407154069535076,0.6951244464378339,-1.441611693490712,Weekends,0.9471695268643835,1,1,0,0,0,True,False,False,False,False,False,True,False,1,0,0,0
141,0.44407154069535076,1.77589099527064,0.9610744623271427,Weekends,-0.19125538523223126,0,1,0,0,0,False,False,False,False,True,True,False,False,0,0,0,1
142,-0.9223024306749594,-0.9910978416715549,0.08737040566610388,Weekends,-0.49483536179132853,1,0,0,0,0,True,False,False,False,False,True,False,False,0,0,0,1
143,-0.9223024306749594,-0.6603452987938863,-0.13105560849915485,Weekends,-1.1778903090492974,1,0,1,0,0,False,False,False,False,True,True,False,False,1,0,0,0
144,-0.23911544498980436,0.3126101463573456,0.5242224339966233,Weekdays,0.8712745327246092,0,0,1,0,0,False,False,False,True,False,False,False,True,0,0,0,1
145,-0.5807089378323819,-1.5073402773424864,-1.2231856793254523,Weekdays,-0.9502053266299745,0,0,1,0,0,True,False,False,False,False,False,True,False,0,1,0,1
146,-0.9223024306749594,-0.4264570709460738,0.742648448161882,Weekdays,0.5676945561655119,0,1,0,0,0,True,False,False,False,False,True,False,False,0,0,0,1
147,0.7856650335379284,1.2962370028146684,-1.0047596651601935,Anytime,-1.2537853031890718,0,0,1,1,0,True,False,False,False,False,False,True,False,1,0,1,0
148,0.7856650335379284,1.1714999545782527,-1.6600377076559718,Weekdays,0.34000957374618895,0,0,1,1,0,False,False,False,False,True,False,True,False,0,0,0,1
149,-1.263895923517537,-0.545036835203556,0.9610744623271427,Anytime,0.036429597187091704,1,0,0,0,0,False,False,True,False,False,False,True,False,0,0,1,0
150,1.127258526380506,-0.6987935590902042,-1.2231856793254523,Anytime,0.4917995620257376,0,0,0,1,0,False,True,False,False,False,False,True,False,0,0,1,0
